fecha_diagnostico,residencia_provincia_nombre,lat,lng,Casos
2020-04-13,Río Negro,-40.8,-63,7
2020-04-13,Santa Fe,-33.72277,-62.24611,1
2020-04-13,Tierra del Fuego,-54.36194,-67.63805,2
2020-04-13,Tucumán,-27,-65.5,1
2020-04-14,Buenos Aires,-36.15722,-60.56972,63
2020-04-14,CABA,-34.58591,-58.38171,16
2020-04-14,Chaco,-27.45138,-58.98666,2
2020-04-14,Chubut,-43.3,-65.1,1
2020-04-14,Córdoba,-32,-64,14
2020-04-14,La Rioja,-29.1,-66.85,1
2020-04-14,Mendoza,-32.89027,-68.84722,4
2020-04-14,Neuquén,-38.95166,-68.07444,2
2020-04-14,Río Negro,-40.8,-63,16
2020-04-14,Santa Fe,-33.72277,-62.24611,3
2020-04-14,Tierra del Fuego,-54.36194,-67.63805,3
2020-04-15,Buenos Aires,-36.15722,-60.56972,50
2020-04-15,CABA,-34.58591,-58.38171,32
2020-04-15,Chaco,-27.45138,-58.98666,14
2020-04-15,Córdoba,-32,-64,2
2020-04-15,Entre Ríos,-32.04777,-60.2811,1
2020-04-15,La Rioja,-29.1,-66.85,5
2020-04-15,Mendoza,-32.89027,-68.84722,1
2020-04-15,Neuquén,-38.95166,-68.07444,1
2020-04-15,Río Negro,-40.8,-63,12
2020-04-15,Santa Fe,-33.72277,-62.24611,3
2020-04-15,Tierra del Fuego,-54.36194,-67.63805,7
2020-04-16,Buenos Aires,-36.15722,-60.56972,41
2020-04-16,CABA,-34.58591,-58.38171,18
2020-04-16,Chaco,-27.45138,-58.98666,22
2020-04-16,Córdoba,-32,-64,6
2020-04-16,Corrientes,-28.6666,-57.6333,1
2020-04-16,La Rioja,-29.1,-66.85,1
2020-04-16,Mendoza,-32.89027,-68.84722,4
2020-04-16,Río Negro,-40.8,-63,8
2020-04-16,Santa Fe,-33.72277,-62.24611,3
2020-04-17,Buenos Aires,-36.15722,-60.56972,35
2020-04-17,CABA,-34.58591,-58.38171,14
2020-04-17,Chaco,-27.45138,-58.98666,16
2020-04-17,Córdoba,-32,-64,2
2020-04-17,Corrientes,-28.6666,-57.6333,1
2020-04-17,Mendoza,-32.89027,-68.84722,1
2020-04-17,Misiones,-26.91666,-54.51666,1
2020-04-17,Neuquén,-38.95166,-68.07444,3
2020-04-17,Río Negro,-40.8,-63,4
2020-04-17,Santa Fe,-33.72277,-62.24611,7
2020-04-17,Tierra del Fuego,-54.36194,-67.63805,3
2020-04-18,Buenos Aires,-36.15722,-60.56972,59
2020-04-18,CABA,-34.58591,-58.38171,25
2020-04-18,Chaco,-27.45138,-58.98666,9
2020-04-18,Chubut,-43.3,-65.1,1
2020-04-18,Córdoba,-32,-64,11
2020-04-18,Corrientes,-28.6666,-57.6333,2
2020-04-18,La Rioja,-29.1,-66.85,1
2020-04-18,Mendoza,-32.89027,-68.84722,1
2020-04-18,Misiones,-26.91666,-54.51666,1
2020-04-18,Neuquén,-38.95166,-68.07444,2
2020-04-18,Río Negro,-40.8,-63,6
2020-04-18,Santa Fe,-33.72277,-62.24611,1
2020-04-18,Tierra del Fuego,-54.36194,-67.63805,3
2020-04-19,Buenos Aires,-36.15722,-60.56972,26
2020-04-19,CABA,-34.58591,-58.38171,19
2020-04-19,Chaco,-27.45138,-58.98666,3
2020-04-19,La Rioja,-29.1,-66.85,3
2020-04-19,Mendoza,-32.89027,-68.84722,1
2020-04-19,Neuquén,-38.95166,-68.07444,1
2020-04-19,Río Negro,-40.8,-63,5
2020-04-19,Santa Fe,-33.72277,-62.24611,1
2020-04-19,Tucumán,-27,-65.5,1
2020-04-20,Buenos Aires,-36.15722,-60.56972,48
2020-04-20,CABA,-34.58591,-58.38171,15
2020-04-20,Chaco,-27.45138,-58.98666,4
2020-04-20,Córdoba,-32,-64,1
2020-04-20,La Rioja,-29.1,-66.85,1
2020-04-20,Mendoza,-32.89027,-68.84722,1
2020-04-20,Neuquén,-38.95166,-68.07444,4
2020-04-20,Río Negro,-40.8,-63,16
2020-04-20,Santa Cruz,-48.8238,-69.815,1
2020-04-20,Santa Fe,-33.72277,-62.24611,2
2020-04-20,Tierra del Fuego,-54.36194,-67.63805,1
2020-04-21,Buenos Aires,-36.15722,-60.56972,62
2020-04-21,CABA,-34.58591,-58.38171,53
2020-04-21,Chaco,-27.45138,-58.98666,7
2020-04-21,Córdoba,-32,-64,2
2020-04-21,La Rioja,-29.1,-66.85,5
2020-04-21,Mendoza,-32.89027,-68.84722,2
2020-04-21,Neuquén,-38.95166,-68.07444,7
2020-04-21,Río Negro,-40.8,-63,13
2020-04-21,Santa Fe,-33.72277,-62.24611,6
2020-04-21,Tucumán,-27,-65.5,3
2020-04-22,Buenos Aires,-36.15722,-60.56972,59
2020-04-22,CABA,-34.58591,-58.38171,24
2020-04-22,Chaco,-27.45138,-58.98666,6
2020-04-22,Córdoba,-32,-64,4
2020-04-22,Corrientes,-28.6666,-57.6333,1
2020-04-22,Mendoza,-32.89027,-68.84722,1
2020-04-22,Neuquén,-38.95166,-68.07444,3
2020-04-22,Río Negro,-40.8,-63,13
2020-04-22,Santa Fe,-33.72277,-62.24611,5
2020-04-22,Tierra del Fuego,-54.36194,-67.63805,1
2020-04-23,Buenos Aires,-36.15722,-60.56972,69
2020-04-23,CABA,-34.58591,-58.38171,49
2020-04-23,Chaco,-27.45138,-58.98666,7
2020-04-23,Córdoba,-32,-64,2
2020-04-23,Corrientes,-28.6666,-57.6333,2
2020-04-23,Río Negro,-40.8,-63,6
2020-04-23,Santa Fe,-33.72277,-62.24611,2
2020-04-24,Buenos Aires,-36.15722,-60.56972,78
2020-04-24,CABA,-34.58591,-58.38171,74
2020-04-24,Chaco,-27.45138,-58.98666,14
2020-04-24,Córdoba,-32,-64,1
2020-04-24,Corrientes,-28.6666,-57.6333,2
2020-04-24,La Rioja,-29.1,-66.85,5
2020-04-24,Misiones,-26.91666,-54.51666,1
2020-04-24,Río Negro,-40.8,-63,3
2020-04-24,Santa Cruz,-48.8238,-69.815,1
2020-04-24,Santa Fe,-33.72277,-62.24611,2
2020-04-24,Tierra del Fuego,-54.36194,-67.63805,3
2020-04-25,Buenos Aires,-36.15722,-60.56972,77
2020-04-25,CABA,-34.58591,-58.38171,54
2020-04-25,Chaco,-27.45138,-58.98666,6
2020-04-25,Córdoba,-32,-64,1
2020-04-25,Corrientes,-28.6666,-57.6333,5
2020-04-25,La Rioja,-29.1,-66.85,1
2020-04-25,Mendoza,-32.89027,-68.84722,1
2020-04-25,Neuquén,-38.95166,-68.07444,1
2020-04-25,Río Negro,-40.8,-63,10
2020-04-25,Santa Fe,-33.72277,-62.24611,3
2020-04-25,Santiago del Estero,-27.78333,-64.26666,1
2020-04-25,Tucumán,-27,-65.5,1
2020-04-26,Buenos Aires,-36.15722,-60.56972,30
2020-04-26,CABA,-34.58591,-58.38171,33
2020-04-26,Chaco,-27.45138,-58.98666,8
2020-04-26,Córdoba,-32,-64,2
2020-04-26,Corrientes,-28.6666,-57.6333,2
2020-04-26,Neuquén,-38.95166,-68.07444,3
2020-04-26,Salta,-24.78333,-65.41666,1
2020-04-26,Santa Cruz,-48.8238,-69.815,5
2020-04-26,Santiago del Estero,-27.78333,-64.26666,2
2020-04-26,Tierra del Fuego,-54.36194,-67.63805,1
2020-04-27,Buenos Aires,-36.15722,-60.56972,67
2020-04-27,CABA,-34.58591,-58.38171,39
2020-04-27,Chaco,-27.45138,-58.98666,3
2020-04-27,Córdoba,-32,-64,2
2020-04-27,Entre Ríos,-32.04777,-60.2811,1
2020-04-27,La Rioja,-29.1,-66.85,1
2020-04-27,Misiones,-26.91666,-54.51666,2
2020-04-27,Río Negro,-40.8,-63,6
2020-04-27,Santa Cruz,-48.8238,-69.815,1
2020-04-27,Tierra del Fuego,-54.36194,-67.63805,3
2020-04-27,Tucumán,-27,-65.5,1
2020-04-28,Buenos Aires,-36.15722,-60.56972,62
2020-04-28,CABA,-34.58591,-58.38171,42
2020-04-28,Chaco,-27.45138,-58.98666,4
2020-04-28,Corrientes,-28.6666,-57.6333,1
2020-04-28,La Rioja,-29.1,-66.85,1
2020-04-28,Mendoza,-32.89027,-68.84722,1
2020-04-28,Río Negro,-40.8,-63,9
2020-04-28,Santa Fe,-33.72277,-62.24611,1
2020-04-28,Tierra del Fuego,-54.36194,-67.63805,3
2020-04-29,Buenos Aires,-36.15722,-60.56972,89
2020-04-29,CABA,-34.58591,-58.38171,27
2020-04-29,Chaco,-27.45138,-58.98666,3
2020-04-29,Córdoba,-32,-64,3
2020-04-29,Corrientes,-28.6666,-57.6333,1
2020-04-29,Mendoza,-32.89027,-68.84722,3
2020-04-29,Misiones,-26.91666,-54.51666,4
2020-04-29,Neuquén,-38.95166,-68.07444,2
2020-04-29,Río Negro,-40.8,-63,10
2020-04-29,Santa Cruz,-48.8238,-69.815,1
2020-04-29,Tierra del Fuego,-54.36194,-67.63805,2
2020-04-29,Tucumán,-27,-65.5,2
2020-04-30,Buenos Aires,-36.15722,-60.56972,47
2020-04-30,CABA,-34.58591,-58.38171,26
2020-04-30,Chaco,-27.45138,-58.98666,14
2020-04-30,Chubut,-43.3,-65.1,1
2020-04-30,Córdoba,-32,-64,13
2020-04-30,Corrientes,-28.6666,-57.6333,1
2020-04-30,Entre Ríos,-32.04777,-60.2811,2
2020-04-30,La Rioja,-29.1,-66.85,3
2020-04-30,Mendoza,-32.89027,-68.84722,5
2020-04-30,Río Negro,-40.8,-63,21
2020-04-30,Tierra del Fuego,-54.36194,-67.63805,2
2020-05-01,Buenos Aires,-36.15722,-60.56972,48
2020-05-01,CABA,-34.58591,-58.38171,57
2020-05-01,Chaco,-27.45138,-58.98666,17
2020-05-01,Chubut,-43.3,-65.1,1
2020-05-01,Córdoba,-32,-64,13
2020-05-01,Río Negro,-40.8,-63,2
2020-05-01,Tierra del Fuego,-54.36194,-67.63805,2
2020-05-02,Buenos Aires,-36.15722,-60.56972,39
2020-05-02,CABA,-34.58591,-58.38171,47
2020-05-02,Chaco,-27.45138,-58.98666,4
2020-05-02,Entre Ríos,-32.04777,-60.2811,2
2020-05-02,Río Negro,-40.8,-63,8
2020-05-02,Tierra del Fuego,-54.36194,-67.63805,1
2020-05-03,Buenos Aires,-36.15722,-60.56972,31
2020-05-03,CABA,-34.58591,-58.38171,41
2020-05-03,Chaco,-27.45138,-58.98666,4
2020-05-03,Córdoba,-32,-64,7
