fecha_internacion,residencia_provincia_nombre,lat,lng,Casos
2020-05-03,Buenos Aires,-36.15722,-60.56972,11
2020-05-03,CABA,-34.58591,-58.38171,17
2020-05-03,Chaco,-27.45138,-58.98666,2
2020-05-03,Río Negro,-40.8,-63,3
2020-05-04,Buenos Aires,-36.15722,-60.56972,23
2020-05-04,CABA,-34.58591,-58.38171,33
2020-05-04,Chaco,-27.45138,-58.98666,2
2020-05-04,Mendoza,-32.89027,-68.84722,1
2020-05-04,Río Negro,-40.8,-63,2
2020-05-05,Buenos Aires,-36.15722,-60.56972,20
2020-05-05,CABA,-34.58591,-58.38171,57
2020-05-05,Chaco,-27.45138,-58.98666,2
2020-05-05,Córdoba,-32,-64,1
2020-05-05,Río Negro,-40.8,-63,2
2020-05-05,San Juan,-30.86666,-68.98333,1
2020-05-06,Buenos Aires,-36.15722,-60.56972,18
2020-05-06,CABA,-34.58591,-58.38171,44
2020-05-06,Chaco,-27.45138,-58.98666,4
2020-05-06,Mendoza,-32.89027,-68.84722,1
2020-05-06,Río Negro,-40.8,-63,4
2020-05-07,Buenos Aires,-36.15722,-60.56972,23
2020-05-07,CABA,-34.58591,-58.38171,64
2020-05-07,Chaco,-27.45138,-58.98666,4
2020-05-07,Río Negro,-40.8,-63,4
2020-05-08,Buenos Aires,-36.15722,-60.56972,26
2020-05-08,CABA,-34.58591,-58.38171,74
2020-05-08,Chaco,-27.45138,-58.98666,4
2020-05-08,Córdoba,-32,-64,2
2020-05-08,Río Negro,-40.8,-63,5
2020-05-09,Buenos Aires,-36.15722,-60.56972,23
2020-05-09,CABA,-34.58591,-58.38171,54
2020-05-09,Chaco,-27.45138,-58.98666,5
2020-05-09,Córdoba,-32,-64,4
2020-05-09,Mendoza,-32.89027,-68.84722,1
2020-05-09,Neuquén,-38.95166,-68.07444,2
2020-05-09,Río Negro,-40.8,-63,2
2020-05-10,Buenos Aires,-36.15722,-60.56972,17
2020-05-10,CABA,-34.58591,-58.38171,41
2020-05-10,Chaco,-27.45138,-58.98666,3
2020-05-10,Córdoba,-32,-64,1
2020-05-10,Río Negro,-40.8,-63,8
2020-05-11,Buenos Aires,-36.15722,-60.56972,39
2020-05-11,CABA,-34.58591,-58.38171,79
2020-05-11,Chaco,-27.45138,-58.98666,1
2020-05-11,Córdoba,-32,-64,1
2020-05-11,La Rioja,-29.1,-66.85,1
2020-05-11,Río Negro,-40.8,-63,3
2020-05-11,Salta,-24.78333,-65.41666,1
2020-05-12,Buenos Aires,-36.15722,-60.56972,32
2020-05-12,CABA,-34.58591,-58.38171,82
2020-05-12,Chaco,-27.45138,-58.98666,6
2020-05-12,Río Negro,-40.8,-63,2
2020-05-13,Buenos Aires,-36.15722,-60.56972,50
2020-05-13,CABA,-34.58591,-58.38171,72
2020-05-13,Chaco,-27.45138,-58.98666,7
2020-05-13,Neuquén,-38.95166,-68.07444,3
2020-05-13,Río Negro,-40.8,-63,8
2020-05-14,Buenos Aires,-36.15722,-60.56972,25
2020-05-14,CABA,-34.58591,-58.38171,60
2020-05-14,Chaco,-27.45138,-58.98666,7
2020-05-14,Chubut,-43.3,-65.1,1
2020-05-14,Córdoba,-32,-64,2
2020-05-14,Neuquén,-38.95166,-68.07444,2
2020-05-14,Río Negro,-40.8,-63,8
2020-05-15,Buenos Aires,-36.15722,-60.56972,40
2020-05-15,CABA,-34.58591,-58.38171,63
2020-05-15,Chaco,-27.45138,-58.98666,3
2020-05-15,Córdoba,-32,-64,1
2020-05-15,La Rioja,-29.1,-66.85,1
2020-05-15,Río Negro,-40.8,-63,2
2020-05-16,Buenos Aires,-36.15722,-60.56972,56
2020-05-16,CABA,-34.58591,-58.38171,67
2020-05-16,Chaco,-27.45138,-58.98666,4
2020-05-16,Córdoba,-32,-64,1
2020-05-16,Río Negro,-40.8,-63,4
2020-05-17,Buenos Aires,-36.15722,-60.56972,40
2020-05-17,CABA,-34.58591,-58.38171,96
2020-05-17,Chaco,-27.45138,-58.98666,3
2020-05-17,Córdoba,-32,-64,1
2020-05-17,Río Negro,-40.8,-63,2
2020-05-17,San Juan,-30.86666,-68.98333,1
2020-05-18,Buenos Aires,-36.15722,-60.56972,71
2020-05-18,CABA,-34.58591,-58.38171,104
2020-05-18,Chaco,-27.45138,-58.98666,2
2020-05-18,Río Negro,-40.8,-63,3
2020-05-18,Santa Fe,-33.72277,-62.24611,1
2020-05-19,Buenos Aires,-36.15722,-60.56972,68
2020-05-19,CABA,-34.58591,-58.38171,96
2020-05-19,Chaco,-27.45138,-58.98666,5
2020-05-19,Córdoba,-32,-64,2
2020-05-19,Río Negro,-40.8,-63,2
2020-05-20,Buenos Aires,-36.15722,-60.56972,92
2020-05-20,CABA,-34.58591,-58.38171,108
2020-05-20,Chaco,-27.45138,-58.98666,2
2020-05-20,Mendoza,-32.89027,-68.84722,1
2020-05-20,Río Negro,-40.8,-63,1
2020-05-20,Santa Fe,-33.72277,-62.24611,2
2020-05-21,Buenos Aires,-36.15722,-60.56972,88
2020-05-21,CABA,-34.58591,-58.38171,116
2020-05-21,Chaco,-27.45138,-58.98666,4
2020-05-21,Río Negro,-40.8,-63,3
2020-05-21,Salta,-24.78333,-65.41666,2
2020-05-22,Buenos Aires,-36.15722,-60.56972,76
2020-05-22,CABA,-34.58591,-58.38171,88
2020-05-22,Chaco,-27.45138,-58.98666,6
2020-05-22,Neuquén,-38.95166,-68.07444,1
2020-05-22,Río Negro,-40.8,-63,2
2020-05-22,Santa Fe,-33.72277,-62.24611,1
2020-05-23,Buenos Aires,-36.15722,-60.56972,53
2020-05-23,CABA,-34.58591,-58.38171,105
2020-05-23,Chaco,-27.45138,-58.98666,4
2020-05-23,Río Negro,-40.8,-63,5
2020-05-24,Buenos Aires,-36.15722,-60.56972,54
2020-05-24,CABA,-34.58591,-58.38171,99
2020-05-24,Chaco,-27.45138,-58.98666,3
2020-05-24,Córdoba,-32,-64,1
2020-05-24,Río Negro,-40.8,-63,4
2020-05-24,Tucumán,-27,-65.5,1
2020-05-25,Buenos Aires,-36.15722,-60.56972,75
2020-05-25,CABA,-34.58591,-58.38171,119
2020-05-25,Chaco,-27.45138,-58.98666,5
2020-05-25,Corrientes,-28.6666,-57.6333,1
2020-05-25,Neuquén,-38.95166,-68.07444,3
2020-05-25,Río Negro,-40.8,-63,2
2020-05-25,San Juan,-30.86666,-68.98333,1
2020-05-25,Tierra del Fuego,-54.36194,-67.63805,1
2020-05-26,Buenos Aires,-36.15722,-60.56972,58
2020-05-26,CABA,-34.58591,-58.38171,89
2020-05-26,Chaco,-27.45138,-58.98666,5
2020-05-26,Neuquén,-38.95166,-68.07444,7
2020-05-26,Río Negro,-40.8,-63,2
2020-05-27,Buenos Aires,-36.15722,-60.56972,91
2020-05-27,CABA,-34.58591,-58.38171,119
2020-05-27,Chaco,-27.45138,-58.98666,1
2020-05-27,Entre Ríos,-32.04777,-60.2811,2
2020-05-27,Jujuy,-23.75,-65.5,1
2020-05-27,Misiones,-26.91666,-54.51666,1
2020-05-27,Río Negro,-40.8,-63,7
2020-05-27,Santa Fe,-33.72277,-62.24611,1
2020-05-28,Buenos Aires,-36.15722,-60.56972,107
2020-05-28,CABA,-34.58591,-58.38171,110
2020-05-28,Chaco,-27.45138,-58.98666,5
2020-05-28,Córdoba,-32,-64,1
2020-05-28,Mendoza,-32.89027,-68.84722,3
2020-05-28,Neuquén,-38.95166,-68.07444,3
2020-05-28,Río Negro,-40.8,-63,3
2020-05-28,Salta,-24.78333,-65.41666,1
2020-05-29,Buenos Aires,-36.15722,-60.56972,74
